DateTime,LocationCode,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
2024-01-17 15:20:00,2.0,0.26,1013.48,26.395,43.385000000000005,18605.415,61.745000000000005
2024-01-17 15:30:00,2.0,0.35,1013.485,26.19,44.99,15304.58,40.754999999999995
2024-01-17 15:40:00,2.0,1.064,1013.503,25.607999999999997,49.497,14010.832999999999,34.388999999999996
2024-01-17 15:50:00,2.0,0.905,1013.488,26.875,46.887,34592.511,144.951
2024-01-17 16:00:00,2.0,0.748,1013.483,29.331,40.120999999999995,34370.566000000006,85.024
2024-01-17 16:10:00,2.0,0.749,1013.5530000000001,27.070999999999998,44.637,12747.167,15.537
2024-01-17 16:20:00,2.0,0.47000000000000003,1013.6270000000001,24.284,52.443999999999996,10925.666000000001,9.622
2024-01-17 16:30:00,2.0,0.358,1013.674,24.881999999999998,49.266000000000005,13362.333000000002,7.0840000000000005
2024-01-17 16:40:00,2.0,0.034999999999999996,1013.768,23.23,53.875,5005.5,3.601
2024-01-17 16:50:00,2.0,0.0,1013.876,21.782999999999998,59.690999999999995,4420.5,3.032
2024-01-17 17:00:00,2.0,0.0,1013.89,20.776,64.31800000000001,2761.501,0.899
2024-01-17 17:10:00,2.0,0.0,1013.9744444444445,20.035555555555554,67.18444444444444,1733.4255555555555,0.31222222222222223
2024-01-17 17:20:00,2.0,0.0,1014.095,19.493000000000002,69.908,916.249,0.093
2024-01-17 17:30:00,2.0,0.121,1014.1699999999998,18.841,73.55,282.835,0.013000000000000001
2024-01-17 17:40:00,2.0,0.3242857142857143,1014.2685714285715,18.544285714285714,75.03142857142858,50.47428571428571,0.0
2024-01-17 17:50:00,2.0,,,,,,
2024-01-17 18:00:00,2.0,,,,,,
2024-01-17 18:10:00,2.0,,,,,,
2024-01-17 18:20:00,2.0,,,,,,
2024-01-17 18:30:00,2.0,,,,,,
2024-01-17 18:40:00,2.0,,,,,,
2024-01-17 18:50:00,2.0,,,,,,
2024-01-17 19:00:00,2.0,,,,,,
2024-01-17 19:10:00,2.0,,,,,,
2024-01-17 19:20:00,2.0,,,,,,
2024-01-17 19:30:00,2.0,,,,,,
2024-01-17 19:40:00,2.0,,,,,,
2024-01-17 19:50:00,2.0,,,,,,
2024-01-17 20:00:00,2.0,,,,,,
2024-01-17 20:10:00,2.0,,,,,,
2024-01-17 20:20:00,2.0,,,,,,
2024-01-17 20:30:00,2.0,,,,,,
2024-01-17 20:40:00,2.0,,,,,,
2024-01-17 20:50:00,2.0,,,,,,
2024-01-17 21:00:00,2.0,,,,,,
2024-01-17 21:10:00,2.0,,,,,,
2024-01-17 21:20:00,2.0,,,,,,
2024-01-17 21:30:00,2.0,,,,,,
2024-01-17 21:40:00,2.0,,,,,,
2024-01-17 21:50:00,2.0,,,,,,
2024-01-17 22:00:00,2.0,,,,,,
2024-01-17 22:10:00,2.0,,,,,,
2024-01-17 22:20:00,2.0,,,,,,
2024-01-17 22:30:00,2.0,,,,,,
2024-01-17 22:40:00,2.0,,,,,,
2024-01-17 22:50:00,2.0,,,,,,
2024-01-17 23:00:00,2.0,,,,,,
2024-01-17 23:10:00,2.0,,,,,,
2024-01-17 23:20:00,2.0,,,,,,
2024-01-17 23:30:00,2.0,,,,,,
2024-01-17 23:40:00,2.0,,,,,,
2024-01-17 23:50:00,2.0,,,,,,
2024-01-18 00:00:00,2.0,,,,,,
2024-01-18 00:10:00,2.0,,,,,,
2024-01-18 00:20:00,2.0,,,,,,
2024-01-18 00:30:00,2.0,,,,,,
2024-01-18 00:40:00,2.0,,,,,,
2024-01-18 00:50:00,2.0,,,,,,
2024-01-18 01:00:00,2.0,,,,,,
2024-01-18 01:10:00,2.0,,,,,,
2024-01-18 01:20:00,2.0,,,,,,
2024-01-18 01:30:00,2.0,,,,,,
2024-01-18 01:40:00,2.0,,,,,,
2024-01-18 01:50:00,2.0,,,,,,
2024-01-18 02:00:00,2.0,,,,,,
2024-01-18 02:10:00,2.0,,,,,,
2024-01-18 02:20:00,2.0,,,,,,
2024-01-18 02:30:00,2.0,,,,,,
2024-01-18 02:40:00,2.0,,,,,,
2024-01-18 02:50:00,2.0,,,,,,
2024-01-18 03:00:00,2.0,,,,,,
2024-01-18 03:10:00,2.0,,,,,,
2024-01-18 03:20:00,2.0,,,,,,
2024-01-18 03:30:00,2.0,,,,,,
2024-01-18 03:40:00,2.0,,,,,,
2024-01-18 03:50:00,2.0,,,,,,
2024-01-18 04:00:00,2.0,,,,,,
2024-01-18 04:10:00,2.0,,,,,,
2024-01-18 04:20:00,2.0,,,,,,
2024-01-18 04:30:00,2.0,,,,,,
2024-01-18 04:40:00,2.0,,,,,,
2024-01-18 04:50:00,2.0,,,,,,
2024-01-18 05:00:00,2.0,,,,,,
2024-01-18 05:10:00,2.0,,,,,,
2024-01-18 05:20:00,2.0,,,,,,
2024-01-18 05:30:00,2.0,,,,,,
2024-01-18 05:40:00,2.0,,,,,,
2024-01-18 05:50:00,2.0,,,,,,
2024-01-18 06:00:00,2.0,,,,,,
2024-01-18 06:10:00,2.0,,,,,,
2024-01-18 06:20:00,2.0,2.14375,1012.9175,13.5925,87.41250000000001,78.64750000000001,0.0
2024-01-18 06:30:00,2.0,1.1888888888888889,1012.9455555555555,13.524444444444445,87.35888888888888,339.3511111111111,0.016666666666666666
2024-01-18 06:40:00,2.0,1.959,1013.1030000000001,13.65,85.899,1075.584,0.213
2024-01-18 06:50:00,2.0,2.143,1013.2459999999999,14.248,82.57300000000001,2304.334,1.136
2024-01-18 07:00:00,2.0,2.463,1013.277,14.488,82.03999999999999,3836.167,3.062
2024-01-18 07:10:00,2.0,1.481111111111111,1013.428888888889,14.694444444444445,81.38444444444445,5901.667777777778,7.333333333333333
